start,end,chord
0.000,0.100,GMin7
0.100,2.000,AbMin7
2.000,2.100,BMin7
2.100,2.900,AbMin7
2.900,3.100,CMin7
3.100,3.200,BbMin7
3.200,3.800,AbMin7
3.800,4.600,GbMaj7
4.600,4.700,AbMin7
4.700,5.800,GbMaj7
5.800,6.000,GbMin7
6.000,6.400,GbMaj7
6.400,6.500,GbMin7
6.500,6.900,GbMaj7
6.900,7.000,BbMin7
7.000,7.400,GbMaj7
7.400,7.500,FMin7
7.500,7.900,CMin7
7.900,8.000,EMin7
8.000,9.700,CMin7
9.700,9.800,EbMaj7
9.800,10.000,CMin7
10.000,10.100,AbMaj7
10.100,11.200,CMin7
11.200,11.900,AbMin7
11.900,12.000,GMaj7
12.000,12.100,EMaj7
12.100,13.000,AbMin7
13.000,13.200,BMaj7
13.200,14.700,AbMin7
14.700,14.800,DbMin7
14.800,15.600,AbMin7
15.600,15.700,EbMin7
15.700,17.200,AbMin7
17.200,17.300,EMaj7
17.300,17.800,AbMin7
17.800,18.000,BbMin7
18.000,18.600,AbMin7
18.600,19.200,GbMaj7
19.200,19.300,Ab7
19.300,20.500,GbMaj7
20.500,20.600,EbMin7
20.600,20.700,BMin7
20.700,22.000,GbMaj7
22.000,22.200,CMin7
22.200,22.300,GbMaj7
22.300,25.900,CMin7
25.900,26.500,AbMin7
26.500,26.600,DbMin7
26.600,26.700,AbMin7
26.700,26.800,GbMin7
26.800,27.500,AbMin7
27.500,27.600,EMaj7
27.600,28.400,AbMin7
28.400,28.500,Ab7
28.500,29.600,AbMin7
29.600,30.300,G7
30.300,30.400,CMin7
30.400,30.700,G7
30.700,30.800,EbMaj7
30.800,31.200,G7
31.200,31.400,CMin7
31.400,31.500,G7
31.500,31.600,CMin7
31.600,33.100,G7
33.100,33.200,EMin7
33.200,33.400,G7
33.400,33.500,AbMaj7
33.500,33.600,AbMin7
33.600,33.800,AbMaj7
33.800,33.900,CMin7
33.900,34.100,AbMaj7
34.100,34.200,CMin7
34.200,34.300,AbMaj7
34.300,34.400,CMin7
34.400,34.600,AbMaj7
34.600,34.700,CMin7
34.700,34.900,AbMaj7
34.900,35.000,G7
35.000,35.100,DMin7
35.100,35.900,AbMaj7
35.900,36.000,G7
36.000,36.200,AbMaj7
36.200,36.300,AbMin7
36.300,37.100,AbMaj7
37.100,37.800,G7
37.800,37.900,Gb7
37.900,38.000,G7
38.000,38.100,Gb7
38.100,38.300,G7
38.300,38.400,EbMaj7
38.400,40.900,G7
40.900,41.000,DbMin7
