,A7,AMaj7,AMin7,Ab7,AbMaj7,AbMin7,B7,BMaj7,BMin7,Bb7,BbMaj7,BbMin7,C7,CMaj7,CMin7,D7,DMaj7,DMin7,Db7,DbMaj7,DbMin7,E7,EMaj7,EMin7,Eb7,EbMaj7,EbMin7,F7,FMaj7,FMin7,G7,GMaj7,GMin7,Gb7,GbMaj7,GbMin7
A7,608,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0
AMaj7,1,2914,7,5,3,4,0,6,12,3,2,1,0,2,0,0,11,0,2,0,8,5,13,0,0,1,0,7,0,0,1,10,1,3,0,20
AMin7,2,4,2842,1,4,6,8,1,3,8,8,1,10,15,1,6,1,12,0,2,1,16,0,15,4,1,0,0,12,8,2,6,5,0,0,1
Ab7,0,1,0,618,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,2
AbMaj7,3,0,0,3,2837,4,0,0,0,2,9,11,2,1,5,0,0,0,0,20,0,0,0,3,0,11,0,1,0,29,12,0,5,0,16,0
AbMin7,12,7,5,1,1,2962,0,10,1,10,1,4,0,1,2,0,3,0,12,3,15,0,16,1,10,2,7,0,0,4,2,7,6,7,19,19
B7,0,3,4,0,0,2,625,0,0,0,2,1,0,2,1,0,0,0,0,0,1,0,1,3,1,2,0,0,0,0,0,1,0,0,1,2
BMaj7,0,18,0,0,0,21,0,2741,8,9,0,12,11,4,0,4,4,0,2,16,11,0,19,5,1,0,14,0,0,0,1,0,2,4,21,3
BMin7,8,12,13,0,0,3,0,1,2794,2,3,3,14,8,7,1,17,3,6,0,21,9,1,22,0,0,5,1,0,0,1,9,1,12,3,15
Bb7,0,2,1,0,1,2,0,0,0,648,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0
BbMaj7,8,0,12,1,17,0,3,3,0,2,2817,2,1,11,11,2,0,15,0,0,1,0,0,0,0,9,0,3,22,3,0,2,25,2,0,0
BbMin7,3,4,1,4,9,17,7,11,1,1,3,2792,9,0,8,0,0,0,0,26,3,4,1,0,11,2,17,8,5,17,1,0,5,0,20,1
C7,0,1,0,0,0,0,0,0,1,0,1,0,653,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,3,0,0,1
CMaj7,1,1,20,1,0,0,6,0,4,0,10,1,3,2789,3,1,13,7,5,2,2,0,0,13,1,0,0,0,23,0,4,18,3,1,0,0
CMin7,0,0,3,1,27,2,0,0,5,2,6,6,3,12,2980,11,0,15,8,4,3,0,0,6,0,16,0,6,2,15,16,2,20,1,0,2
D7,0,0,3,1,0,0,0,0,2,0,0,0,0,0,1,598,0,5,1,1,0,0,0,0,0,3,0,0,0,1,0,0,8,0,0,0
DMaj7,3,23,4,0,0,0,1,1,14,2,0,1,1,13,0,0,2970,2,7,1,5,0,8,3,3,0,0,0,3,0,0,13,0,1,0,14
DMin7,11,2,17,0,0,0,1,0,4,2,13,2,6,7,3,2,1,2816,2,3,1,5,0,5,5,3,2,3,18,6,18,3,28,0,1,0
Db7,0,1,0,0,0,2,0,0,1,0,0,0,0,0,3,0,3,0,614,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,1
DbMaj7,0,0,0,9,15,4,0,13,0,1,1,12,17,1,5,3,1,2,2,2735,1,0,1,0,2,8,12,0,0,27,0,0,1,0,21,0
DbMin7,5,22,4,15,2,11,4,6,3,1,0,1,1,3,1,2,8,2,2,2,2888,1,32,2,9,1,10,0,2,4,2,0,0,17,5,17
E7,0,2,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,1,594,0,3,0,1,0,0,4,1,0,0,0,0,0,0
EMaj7,0,15,1,1,1,12,2,12,2,0,0,0,2,0,0,1,13,1,0,4,25,4,2831,2,7,3,2,4,2,1,0,1,0,3,14,18
EMin7,7,5,18,0,0,2,6,1,6,3,0,0,1,19,3,5,16,13,1,0,5,0,5,2957,1,1,1,3,8,2,5,16,5,13,1,12
Eb7,0,0,0,0,2,7,0,0,0,0,0,1,0,0,4,0,1,1,0,0,0,0,3,0,599,0,4,0,0,0,0,0,0,0,0,0
EbMaj7,0,0,1,0,21,0,0,0,0,6,18,0,3,1,23,8,4,9,0,16,0,3,1,0,2,2778,1,3,15,13,3,0,22,1,4,1
EbMin7,1,0,0,15,2,24,3,19,1,16,3,14,0,0,5,3,3,5,1,7,6,15,15,1,1,2,2739,8,0,6,0,0,3,4,33,4
F7,0,0,0,0,0,0,3,0,1,0,0,2,0,0,6,0,0,1,0,0,0,0,0,2,0,0,3,590,1,0,0,0,1,0,2,0
FMaj7,0,0,12,0,0,0,0,0,0,0,9,0,4,10,1,0,2,10,3,0,0,6,0,6,2,8,0,2,2784,3,4,9,7,3,3,1
FMin7,0,0,1,2,22,1,1,2,1,19,3,16,15,0,22,0,0,6,3,7,3,2,2,3,0,7,6,2,7,2916,12,0,13,11,6,5
G7,0,0,0,0,1,0,0,1,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,670,0,1,0,1,3
GMaj7,1,6,9,4,3,2,0,0,20,0,0,0,0,8,0,3,17,3,0,2,0,1,1,19,1,0,0,2,13,0,0,2921,4,14,2,5
