C,Db,D,Eb,E,F,Gb,G,Ab,A,Bb,B,chord
0.215922,0.042304,0.059046,0.103958,0.141782,1.000000,0.107198,0.114903,0.243506,0.032272,0.059777,0.045627,FMin7
0.036885,0.015242,0.041788,0.039801,0.046737,0.266892,0.141959,0.984630,0.074802,0.038642,0.057833,0.056036,G7
0.771288,0.100885,0.114331,0.082829,0.088409,0.248993,0.045595,0.227643,0.062547,0.035040,0.107296,0.135687,CMin7
0.349850,0.064801,0.105380,0.213179,0.101485,0.388293,0.083727,0.216474,0.419322,0.090305,0.345563,0.068607,AbMaj7
0.022705,0.036395,0.199351,0.060131,0.183076,0.226386,0.164798,0.526205,0.113628,0.427880,0.121842,0.050204,GMin7
0.061802,0.075279,0.233612,0.288069,0.664129,0.117173,0.086462,0.027948,0.026729,0.325083,0.100586,0.309402,EMin7
0.056415,0.073433,0.400912,0.551493,0.169377,0.184459,0.050039,0.058714,0.054450,0.628896,0.305348,0.080984,EbMaj7
0.089569,0.065021,0.217847,0.208358,0.086639,0.344074,0.082122,0.058711,0.059515,0.336791,0.165860,0.088306,D7
0.039462,0.201999,0.072447,0.218743,0.296403,0.178156,0.407458,0.086804,0.476608,0.126751,0.051482,0.023058,GbMin7
0.081104,0.172969,0.274406,0.707700,0.136512,0.094491,0.034550,0.029328,0.320974,0.109425,0.328085,0.061361,EbMin7
0.112099,0.414534,0.556670,0.210884,0.181950,0.059731,0.061236,0.044202,0.545553,0.298664,0.071433,0.057799,DMaj7
0.087040,0.226972,0.424078,0.107605,0.385757,0.081970,0.060502,0.056567,0.293908,0.163820,0.089072,0.088827,Db7
0.207757,0.074743,0.220692,0.275780,0.192969,0.460848,0.103070,0.483012,0.120862,0.048058,0.022729,0.037987,FMin7
0.164759,0.310046,0.656222,0.142954,0.083345,0.031370,0.030683,0.370302,0.102473,0.296619,0.067843,0.064585,DMin7
0.378189,0.528810,0.197065,0.182451,0.060170,0.064941,0.048792,0.637083,0.281724,0.077144,0.058801,0.091988,DbMaj7
0.204429,0.387803,0.114052,0.385252,0.092104,0.072717,0.064887,0.344583,0.170518,0.102377,0.087275,0.079098,C7
0.048760,0.022542,0.030786,0.249890,0.060932,0.192826,0.296749,0.180638,0.449439,0.081705,0.436237,0.118834,AbMin7
0.307143,0.072838,0.065136,0.203930,0.335568,0.731871,0.155421,0.102002,0.028215,0.027941,0.230222,0.097344,FMin7
0.060100,0.051287,0.076846,0.444921,0.549173,0.166885,0.167375,0.053074,0.056749,0.038095,0.536234,0.267390,EMaj7
